id,title,link,score,review
104,듄,https://movie.naver.com/movie/point/af/list.naver?st=mcode&sword=191559&target=after,10,스토리 탄탄하고 앞으로 전개될 이야기 서사가 너무 재밌을꺼같아요 .스케일이 보는 내내 웅장하고 멋졌어요.
105,듄,https://movie.naver.com/movie/point/af/list.naver?st=mcode&sword=191559&target=after,10,거대한 시작을 함께한 기분
106,레미니센스,https://movie.naver.com/movie/point/af/list.naver?st=mcode&sword=193966&target=after,4,배우들 때문에 봤다
107,명당,https://movie.naver.com/movie/point/af/list.naver?st=mcode&sword=162981&target=after,10,재밌는데 평점 8점을 못넘네
108,모가디슈,https://movie.naver.com/movie/point/af/list.naver?st=mcode&sword=192150&target=after,7,과하지 않으면서 국내영화같지 않은 스케일
109,아무도 살아서 나갈 수 없다,https://movie.naver.com/movie/point/af/list.naver?st=mcode&sword=209952&target=after,2,런닝타임이 90분인 데!  넷플에서 10일동안 열 번은 끊어봤음!  끝까지 뭔가 있겠지 하면서 봤는 데 ㅡㅜ 그냥 분위기만 어둡고 암울함!  게다가 내용도 재미없어서 더 우울증 걸릴 거 같음!  꼭 보세요!  보는 내내 무서움! 이걸 왜 끝까지 봤을 까하는 공포가 밀려옴!
110,파수꾼,https://movie.naver.com/movie/point/af/list.naver?st=mcode&sword=75378&target=after,9,모든것이 기태 때문에!!! 이영화는 기태만 없었으면 안 만들어도 됐을 연화
111,모가디슈,https://movie.naver.com/movie/point/af/list.naver?st=mcode&sword=192150&target=after,2,담배피고 술마시고 그런장면 밖에 없고결말도 쓰레기같은데 이게명작임?
112,이터널스,https://movie.naver.com/movie/point/af/list.naver?st=mcode&sword=184311&target=after,10,완전 꿀잼ㅠㅠ 개봉하자마자 보길 잘한 듯ㅠㅠㅠ
113,이터널스,https://movie.naver.com/movie/point/af/list.naver?st=mcode&sword=184311&target=after,2,알바 ㅈㄴ많네ㅋㅋ불필요한 장면 많고 다소 지루한 감이 있음.  뭔가 마블 특유의 느낌이 안나고. 마동석은 등장 얼마 하지도않고 죽여버리네
114,듄,https://movie.naver.com/movie/point/af/list.naver?st=mcode&sword=191559&target=after,10,진짜재밌습니다~~~~
115,메가마인드,https://movie.naver.com/movie/point/af/list.naver?st=mcode&sword=74309&target=after,9,어른이 봐도 볼만하다 안 봤으면 꼭봐라
116,이터널스,https://movie.naver.com/movie/point/af/list.naver?st=mcode&sword=184311&target=after,10,"21세기 빠르게 변화하는 우리 사회를 대변하는 영화. 이터널스의 다양성, 포용력과 인류애는 마음을 데핀다. 사랑하면 보호해주고싶다는 것은 유니버셜하다."
117,베놈 2: 렛 데어 비 카니지,https://movie.naver.com/movie/point/af/list.naver?st=mcode&sword=187323&target=after,7,카니지를 이렇게 소비하다니 아쉽다.
118,이터널스,https://movie.naver.com/movie/point/af/list.naver?st=mcode&sword=184311&target=after,1,디즈니 pc충들 게이 개역겹네 ㅋ ㅋ 영화는 영상미빼곤 별로임 알바들 과장 평점에 욕하는 댓글 싫어요 박는 거꺼지 완벽ㅋㅋ
119,듄,https://movie.naver.com/movie/point/af/list.naver?st=mcode&sword=191559&target=after,10,극장에서 볼 단 하나의 이유
120,이터널스,https://movie.naver.com/movie/point/af/list.naver?st=mcode&sword=184311&target=after,10,시사회로 보고왔는데 역시 마블은 가슴이웅장해지는 전율이있네요. 기존 마블과 다르게 새로운 매력있어요!ㅎ. 마블 ~ 마블리 마블의 끝은 어디인가? 세계관에 감탄하고감. ㅎ마블 Forever ~
121,크루엘라,https://movie.naver.com/movie/point/af/list.naver?st=mcode&sword=187322&target=after,3,뻔하디 뻔한 패션드라마에 디즈니향 첨가
122,365일,https://movie.naver.com/movie/point/af/list.naver?st=mcode&sword=199586&target=after,2,야동을 365일
123,고장난 론,https://movie.naver.com/movie/point/af/list.naver?st=mcode&sword=209496&target=after,8,초반 바니의 생일 파티에 부를 친구 하나 없는게 참 ㅠㅠ
124,듄,https://movie.naver.com/movie/point/af/list.naver?st=mcode&sword=191559&target=after,10,정말 재밌어요 정말 이영화 정말 강추 합니다 이영화 정말 재밌어요 이영화 정말 추천 합니다 이영화 안보면 정말 후회 합니다 이영화 정말 강추 합니다 정말 재밌어요 정말 추천 합니다 이영화 정말 재밌어요
125,아네트,https://movie.naver.com/movie/point/af/list.naver?st=mcode&sword=206657&target=after,8,라라랜드 절망 버전 입니다
126,애프터: 관계의 함정,https://movie.naver.com/movie/point/af/list.naver?st=mcode&sword=209598&target=after,10,현실적인 사랑 이야기를 담아서 좋아요. 애프터 책 시리즈를 다 읽고 영화를 봤는데 책 내용을 잘 담아내면서도 조금 바꾼부분도 어색하지 않아서 재밌었어요. 마지막 4편도 기대됩니다.
127,베놈 2: 렛 데어 비 카니지,https://movie.naver.com/movie/point/af/list.naver?st=mcode&sword=187323&target=after,8,초반이 좀 길어서 생각보단 루즈한 느낌이 나요뒷부분에 후다닥몰아침
128,베놈 2: 렛 데어 비 카니지,https://movie.naver.com/movie/point/af/list.naver?st=mcode&sword=187323&target=after,1,베놈2 진짜 재미 없다 베놈2 정말 보면 돈 시간 낭비 한다 베놈2 정말 재미 없다 비추천 한다 이영화 보면 돈 시간 낭비 한다 정말 후회 한다 이영화 절대 보지 마세요 나중에 후회 한다 돈 시간 낭비 한다 이영화 절대 보지 마세요 정말 비추천 합니다 나중에  이영화 보면 정말 후회 합니다
129,클로버필드 10번지,https://movie.naver.com/movie/point/af/list.naver?st=mcode&sword=134856&target=after,9,매우 잘 만든 SF스릴러
130,기적,https://movie.naver.com/movie/point/af/list.naver?st=mcode&sword=199860&target=after,10,오랜만에 한국적인 감성을 자극하는 영화네요.윤아 배우님 너무 웃겨요.
131,이터널스,https://movie.naver.com/movie/point/af/list.naver?st=mcode&sword=184311&target=after,2,마블 진부 흥미롭지 않음
132,이터널스,https://movie.naver.com/movie/point/af/list.naver?st=mcode&sword=184311&target=after,8,올해본것중에 1위다 좀부족하긴했어도
133,이터널스,https://movie.naver.com/movie/point/af/list.naver?st=mcode&sword=184311&target=after,1,내 취향 영화는 아니였음...
134,이터널스,https://movie.naver.com/movie/point/af/list.naver?st=mcode&sword=184311&target=after,8,"베놈2, 블위보단 훨씬 재밌다ㅋㅋㅋ"
135,이터널스,https://movie.naver.com/movie/point/af/list.naver?st=mcode&sword=184311&target=after,10,
136,악령의 캠핑카,https://movie.naver.com/movie/point/af/list.naver?st=mcode&sword=180410&target=after,6,그냥 저냥.. 무섭지도 않고. . ㅜ  아이들 건드는 영화 별로에요.
137,이터널스,https://movie.naver.com/movie/point/af/list.naver?st=mcode&sword=184311&target=after,10,너무 재미있어요~ 시간가는줄 모르고 봤네요~
